mpid	formula	family	N_atoms	structure	N_atoms2	max1	max2	dim	Bulk_Space	Bulk_Point	Centrosymmetric	Band_Gap	Formation_Energy	E_hull	Mono_Space	Centrosymmectric	Mono_Point
mp-31256	U(SbO3)2	Ac(AsO3)2	9	1D or 2D	72	9	36	2	C2/m	2/m	TRUE	1.2887	-2.590704976	0.004866429	C2/m	TRUE	2/m
mp-707273	U(BH4)4	Ac(BH4)4	42	1D or 2D	336	21	84	2	Cmcm	mmm	TRUE	0.221	-0.24254145	0.005334863	Amm2	FALSE	mm2
mp-31013	U(BO3)2	Ac(BO3)2	18	1D or 2D	144	9	36	2	C2/c	2/m	TRUE	2.2738	-3.168100219	0.008207536	C2	FALSE	2
mp-626864	U(HO2)2	Ac(HO2)2	14	1D or 2D	112	14	56	2	Cmce	mmm	FALSE	1.6723	-2.592047367	0.07837361	Pmna	TRUE	mmm
mp-626885	U(HO2)2	Ac(HO2)2	14	1D or 2D	112	14	56	2	Cmc2_1	mm2	FALSE	1.8953	-2.58881151	0.081609467	Pmn2_1	FALSE	mm2
mp-510128	U(HO2)2	Ac(HO2)2	28	1D or 2D	224	14	56	2	Pbca	mmm	TRUE	2.4873	-2.630746186	0.039674791	P2_1/c	FALSE	2/m
mp-27986	Np(OF)2	Ac(OF)2	5	1D or 2D	40	5	20	2	R-3m	-3m	TRUE	0	-3.233179175	0	R-3m	TRUE	-3m
mp-27980	U(OF)2	Ac(OF)2	5	1D or 2D	40	5	20	2	R-3m	-3m	TRUE	2.0451	-3.502658662	0	R-3m	TRUE	-3m
mp-542180	Th(TeI)2	Ac(SF)2	10	1D or 2D	80	10	40	2	C2/m	2/m	TRUE	1.0259	-1.02517312	0	C2/m	TRUE	2/m
mp-573810	U2Te5	Ac2S5	14	1D or 2D	112	14	56	2	P-1	-1	TRUE	0	-0.585096822	0	P-1	TRUE	-1
mp-705486	U3Cu2H10(CO10)2	Ac3T2H10(CO10)2	37	1D or 2D	296	37	148	2	P-1	-1	TRUE	0.7617	-2.108826089	0.025484858	P-1	TRUE	-1
mp-28939	U4Te3O4	Ac4S3O4	11	1D or 2D	88	11	44	2	I4/mmm	4/mmm	TRUE	0	-2.38971038	0	P4/mmm	TRUE	4/mmm
mp-649213	Th6FeBr15	Ac6TF15	22	1D or 2D	176	22	88	2	Im-3m	m-3m	TRUE	0	-1.571262524	0	Pm-3m	TRUE	m-3m
mp-28167	Th6CoBr15	Ac6TF15	22	1D or 2D	176	22	88	2	Im-3m	m-3m	TRUE	0.6809	-1.586859809	0	Pm-3m	TRUE	m-3m
mp-556389	UTl2(TeO4)2	AcB2(SO4)2	26	1D or 2D	208	26	104	2	P-1	-1	TRUE	1.842	-2.090611755	0.003080529	P-1	TRUE	-1
mp-29761	UCO5	AcCO5	7	1D or 2D	56	7	28	2	Imm2	mm2	FALSE	2.2608	-2.83298036	0.007886215	Pmm2	FALSE	mm2
mp-555173	UCO5	AcCO5	14	1D or 2D	112	7	28	2	Pmmn	mmm	TRUE	2.2611	-2.832982324	0.00788425	Pmm2	FALSE	mm2
mp-27652	ThI2	AcF2	12	1D or 2D	96	3	12	2	P6_3/mmc	6/mmm	TRUE	0	-1.067233962	0.010169772	P-3m1	TRUE	-3m
mp-640563	UCl2O	AcF2O	48	1D or 2D	384	24	96	2	Pbam	mmm	TRUE	0.0015	-2.763939104	0	Pmc2_1	FALSE	mm2
mp-608461	PaCl2O	AcF2O	48	1D or 2D	384	24	96	2	Pbam	mmm	TRUE	0.0058	-2.970909873	0.003067657	Pmc2_1	FALSE	mm2
mp-14107	NpF3	AcF3	8	1D or 2D	64	4	16	2	P6_3/mmc	6/mmm	TRUE	0	-3.399508036	0	P-6m2	FALSE	-6m2
mp-27974	PuBr3	AcF3	8	1D or 2D	64	8	32	2	Cmcm	mmm	TRUE	0	-1.53982019	0	Pmmn	TRUE	mmm
mp-8033	PuF3	AcF3	8	1D or 2D	64	4	16	2	P6_3/mmc	6/mmm	TRUE	0.0073	-3.592849855	0	P-6m2	FALSE	-6m2
mp-567519	NpBr3	AcF3	8	1D or 2D	64	8	32	2	Cmcm	mmm	TRUE	0.0421	-1.361053708	0	Pmmn	TRUE	mmm
mp-27153	UBr4	AcF4	10	1D or 2D	80	10	40	2	C2/m	2/m	TRUE	0.1733	-1.326822912	0	C2/m	TRUE	2/m
mp-27697	ThI4	AcF4	20	1D or 2D	160	20	80	2	P2_1/c	2/m	FALSE	1.8297	-1.239949155	0	P2_1/c	FALSE	2/m
mp-27763	UIN	AcFN	6	1D or 2D	48	6	24	2	P4/nmm	4/mmm	TRUE	0	-1.438199777	0	P4/nmm	TRUE	4/mmm
mp-27762	UBrN	AcFN	6	1D or 2D	48	6	24	2	P4/nmm	4/mmm	TRUE	0	-1.612293935	0	P4/nmm	TRUE	4/mmm
mp-28066	ThBrN	AcFN	6	1D or 2D	48	6	24	2	P4/nmm	4/mmm	TRUE	2.6393	-2.095324452	0	P4/nmm	TRUE	4/mmm
mp-28067	ThIN	AcFN	6	1D or 2D	48	6	24	2	P4/nmm	4/mmm	TRUE	2.699	-1.918340573	0	P4/nmm	TRUE	4/mmm
mp-556939	NpIO	AcFO	6	1D or 2D	48	6	24	2	P4/nmm	4/mmm	TRUE	0	-2.322246619	0	P4/nmm	TRUE	4/mmm
mp-30274	AcBrO	AcFO	6	1D or 2D	48	6	24	2	P4/nmm	4/mmm	TRUE	4.241	-3.235535362	0	P4/nmm	TRUE	4/mmm
mp-27536	UBrO2	AcFO2	8	1D or 2D	64	8	32	2	Cmcm	mmm	TRUE	0.1172	-3.043435111	0	Pmma	TRUE	mmm
mp-24478	PuH8(SO6)2	AcH8(SO6)2	92	1D or 2D	736	46	184	2	Pnma	mmm	TRUE	0.0116	-1.819938891	0.004277052	Pmn2_1	FALSE	mm2
mp-862853	PaP3	AcN3	8	1D or 2D	64	4	16	2	P6_3/mmc	6/mmm	TRUE	0	-0.711838219	0.014247049	P-6m2	FALSE	-6m2
mp-864899	NpP3	AcN3	8	1D or 2D	64	4	16	2	P6_3/mmc	6/mmm	TRUE	0	-0.444071176	0	P-6m2	FALSE	-6m2
mp-865428	UP3	AcN3	8	1D or 2D	64	4	16	2	P6_3/mmc	6/mmm	TRUE	0	-0.61207165	0	P-6m2	FALSE	-6m2
mp-28299	USe2O7	AcS2O7	40	1D or 2D	320	20	80	2	P-1	-1	TRUE	2.1387	-2.176476372	0	P1	FALSE	1
mp-8357	UTe3	AcS3	8	1D or 2D	64	8	32	2	P2_1/m	2/m	FALSE	0	-0.52124073	0	P2_1/m	FALSE	2/m
mp-9429	USe3	AcS3	8	1D or 2D	64	8	32	2	P2_1/m	2/m	FALSE	0	-0.924118476	0	P2_1/m	FALSE	2/m
mp-12406	US3	AcS3	8	1D or 2D	64	8	32	2	P2_1/m	2/m	FALSE	0	-1.100973389	0	P2_1/m	FALSE	2/m
mp-568948	UTe3	AcS3	8	1D or 2D	64	8	32	2	P2_1/m	2/m	FALSE	0	-0.521084603	0.000156128	P2_1/m	FALSE	2/m
mp-22231	UTe3	AcS3	8	1D or 2D	64	8	32	2	Cmcm	mmm	TRUE	0.0058	-0.519249535	0.001991195	Pmmn	TRUE	mmm
mp-651772	UTe5	AcS5	24	1D or 2D	192	12	48	2	Pna2_1	mm2	FALSE	0.0057	-0.332873719	0.015767645	P2_1	FALSE	2
mp-28500	UTe5	AcS5	24	1D or 2D	192	12	48	2	Pnma	mmm	TRUE	0.0095	-0.348641364	0	P2_1/m	FALSE	2/m
mp-3402	UTeN	AcSN	6	1D or 2D	48	6	24	2	P4/nmm	4/mmm	TRUE	0	-1.341888219	0	P4/nmm	TRUE	4/mmm
mp-504922	UPbO4	AcSnO4	24	1D or 2D	192	24	96	2	Pbcm	mmm	TRUE	1.5101	-2.984845907	0	Pbcm	TRUE	mmm
mp-3037	UTeO	AcSO	6	1D or 2D	48	6	24	2	P4/nmm	4/mmm	TRUE	0.0157	-2.26291079	0	P4/nmm	TRUE	4/mmm
mp-27723	USeO5	AcSO5	14	1D or 2D	112	14	56	2	P2_1/m	2/m	FALSE	1.7329	-2.575468441	0.016332279	P2_1/m	FALSE	2/m
mp-3516	UTeO5	AcSO5	28	1D or 2D	224	28	112	2	Pbcm	mmm	TRUE	1.8368	-2.716835897	0.00436772	Pbcm	TRUE	mmm
mp-104	Sb	As	2	1D or 2D	16	2	8	2	R-3m	-3m	TRUE	0.1208	0	0	R-3m	TRUE	-3m
mp-11	As	As	2	1D or 2D	16	2	8	2	R-3m	-3m	TRUE	0.3434	0	0	R-3m	TRUE	-3m
