mpid	formula	family	N_atoms	structure	N_atoms2	max1	max2	dim	Bulk_Space	Bulk_Point	Centrosymmetric	Band_Gap	Formation_Energy	E_hull	Mono_Space	Centrosymmectric	Mono_Point
mp-104	Sb	As	2	1D or 2D	16	2	8	2	R-3m	-3m	TRUE	0.1208	0	0	R-3m	TRUE	-3m
mp-11	As	As	2	1D or 2D	16	2	8	2	R-3m	-3m	TRUE	0.3434	0	0	R-3m	TRUE	-3m
mp-158	As	As	4	1D or 2D	32	4	16	2	Cmce	mmm	FALSE	0.3791	0.02366599	0.02366599	Pmna	TRUE	mmm
mp-760162	BiOF	AsOF	48	1D or 2D	384	24	96	2	Pbca	mmm	TRUE	3.2117	-2.063802888	0.017395149	P2_1/c	FALSE	2/m
mp-752949	BiOF	AsOF	6	1D or 2D	48	6	24	2	R-3m	-3m	TRUE	3.2938	-2.046539207	0.03465883	R-3m	TRUE	-3m
mp-759750	BiOF	AsOF	36	1D or 2D	288	36	144	2	P2_1/c	2/m	FALSE	3.338	-1.997410819	0.083787218	P2_1/c	FALSE	2/m
mp-626481	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	P1	1	FALSE	3.8282	-2.067059492	0.069570224	P1	FALSE	1
mp-626568	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	P1	1	FALSE	3.8913	-2.075518094	0.061111623	P1	FALSE	1
mp-626467	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	Pc	m	FALSE	4.0103	-2.068016072	0.068613644	P1	FALSE	1
mp-625807	Al(HO)3	B(HO)3	56	1D or 2D	448	29	116	2	P1	1	FALSE	4.3037	-2.077410233	0.059219483	P1	FALSE	1
mp-626094	Al(HO)3	B(HO)3	56	1D or 2D	448	29	116	2	P1	1	FALSE	4.3399	-2.094144537	0.04248518	P1	FALSE	1
mp-626073	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	Pc	m	FALSE	4.574	-2.059432626	0.077197091	P1	FALSE	1
mp-626500	Al(HO)3	B(HO)3	14	1D or 2D	112	14	56	2	P1	1	FALSE	4.5759	-2.082410515	0.054219202	P1	FALSE	1
mp-626074	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	P2_1	2	FALSE	4.615	-2.098685951	0.037943766	P1	FALSE	1
mp-625320	Al(HO)3	B(HO)3	14	1D or 2D	112	14	56	2	P1	1	FALSE	4.6972	-2.088739334	0.047890383	P1	FALSE	1
mp-626497	Al(HO)3	B(HO)3	14	1D or 2D	112	14	56	2	Cm	m	FALSE	4.6973	-2.099053749	0.037575968	Cm	FALSE	m
mp-625762	Al(HO)3	B(HO)3	56	1D or 2D	448	28	112	2	P1	1	FALSE	4.7202	-2.089641461	0.046988256	P1	FALSE	1
mp-626504	Al(HO)3	B(HO)3	14	1D or 2D	112	14	56	2	P1	1	FALSE	4.7476	-2.095579645	0.041050072	P1	FALSE	1
mp-626414	Al(HO)3	B(HO)3	28	1D or 2D	224	28	112	2	P1	1	FALSE	4.7632	-2.104507037	0.03212268	P1	FALSE	1
